목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
CU/백제보점,126.941720129202,36.3174670930817,부여군,부여읍,쇼핑,대형유통점,편의점,3
CU/부여홍산점,126.759459434374,36.2137279021245,부여군,홍산면,쇼핑,대형유통점,편의점,3
DC킹마트/부여점,126.9254712599208,36.283586276883,부여군,부여읍,쇼핑,쇼핑기타,쇼핑기타,4
K-water/금강보관리단,126.940609119534,36.317161566096,부여군,부여읍,쇼핑,건축자재,페인트/유리,9
KT/부여지점,126.91238972795152,36.279582355692646,부여군,부여읍,기업/단체,주요그룹,KT,6
S무인텔,126.89825179641667,36.31482826142988,부여군,규암면,여행/레저,숙박,모텔/여관,6
VIP모텔,126.91127873618268,36.27716595804321,부여군,부여읍,여행/레저,숙박,모텔/여관,6
가곡교회,126.844811898911,36.3394084955389,부여군,은산면,생활편의,종교,교회시설,3
가롯네소류지,126.742988554507,36.2285316823628,부여군,홍산면,여행/레저,관광명소,호수,4
가장맛있는족발/부여점,126.90858451004873,36.27966565831402,부여군,부여읍,생활편의,음식점,전문음식점,3
간곡서원,126.908640882914,36.1824822764313,부여군,임천면,여행/레저,관광명소,문화유적지,3
감동펜션,126.907473537391,36.274999516903,부여군,부여읍,여행/레저,숙박,펜션,7
강가모텔,126.88972511983388,36.27449947506016,부여군,규암면,여행/레저,숙박,모텔/여관,3
건양대학교부여병원,126.90169626859868,36.27555497700856,부여군,부여읍,의료편의,의료시설,종합병원,37
경둔1리마을회관,126.827730349542,36.3082452865858,부여군,은산면,기업/단체,사회시설,회관,3
계백관,126.922777656727,36.2838597042998,부여군,부여읍,생활편의,음식점,한식,3
고란사,126.91319510097888,36.29260865420433,부여군,부여읍,생활편의,종교,절,7
고란사선착장,126.91311177410957,36.2927197521944,부여군,부여읍,교통편의,교통시설,항구,6
고란초모텔,126.911584239766,36.280082294258,부여군,부여읍,여행/레저,숙박,모텔/여관,8
고봉민김밥인부여점/부여점,126.910306564023,36.2814432432315,부여군,부여읍,생활편의,음식점,분식,3
골프가족텔,126.89723682585162,36.31756610991648,부여군,규암면,여행/레저,숙박,모텔/여관,6
광일산업,126.832147057482,36.2566400794885,부여군,구룡면,기업/단체,업종별기업,종이 목재,3
구드래119번길무인텔,126.909806577526,36.285081714901,부여군,부여읍,여행/레저,숙박,모텔/여관,6
구드래돌쌈밥,126.909612148245,36.2853316853433,부여군,부여읍,생활편의,음식점,한식,19
구드래보리밥,126.910973150854,36.283859638387,부여군,부여읍,생활편의,음식점,한식,15
구드래선착장,126.907723387849,36.2899700353435,부여군,부여읍,교통편의,교통시설,항구,677
구드래조각공원,126.90711235636886,36.2869981482423,부여군,부여읍,여행/레저,관광명소,공원,71
구드래한우타운,126.91003327797006,36.28488278946794,부여군,부여읍,생활편의,음식점,한식,7
