목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
24시전주명가 콩나물국밥,126.910917657414,36.2771381814153,부여군,부여읍,생활편의,음식점,한식,170
60계치킨/충남부여점,126.91100070814394,36.279698745121934,부여군,부여읍,생활편의,음식점,치킨,13
BHC/부여규암점,126.882975722621,36.2741939168025,부여군,규암면,생활편의,음식점,치킨,3
BHC/부여은산점,126.85252138638316,36.30871139350802,부여군,은산면,생활편의,음식점,치킨,3
BHC/부여홍산점,126.7602868680458,36.215819518959805,부여군,홍산면,생활편의,음식점,치킨,3
CU/뉴부여로터리점,126.93236268404728,36.28670741467556,부여군,부여읍,쇼핑,대형유통점,편의점,3
CU/백제보점,126.941720129202,36.3174670930817,부여군,부여읍,쇼핑,대형유통점,편의점,3
CU/부여구룡점,126.81034745844926,36.24998248331761,부여군,구룡면,쇼핑,대형유통점,편의점,3
CU/부여백제점,126.894446691222,36.3016908482367,부여군,규암면,쇼핑,대형유통점,편의점,6
CU/부여은산점,126.853450274285,36.3092730896185,부여군,은산면,쇼핑,대형유통점,편의점,3
CU/부여홍산점,126.759459434374,36.2137279021245,부여군,홍산면,쇼핑,대형유통점,편의점,9
CU/외산터미널점,126.70466479875644,36.30209919690876,부여군,외산면,쇼핑,대형유통점,편의점,3
DC킹마트/부여점,126.9254712599208,36.283586276883,부여군,부여읍,쇼핑,쇼핑기타,쇼핑기타,22
G340,126.917194875157,36.2773604133498,부여군,부여읍,생활편의,카페,커피전문점,16
GS25/부여규암점,126.88311463937,36.2694444585252,부여군,규암면,쇼핑,대형유통점,편의점,8
GS25/부여임천오복점,126.8961165540992,36.183750211892246,부여군,임천면,쇼핑,대형유통점,편의점,3
K-water/금강보관리단,126.940609119534,36.317161566096,부여군,부여읍,쇼핑,건축자재,페인트/유리,9
KT/부여지점,126.91238972795152,36.279582355692646,부여군,부여읍,기업/단체,주요그룹,KT,15
LG전자베스트샵/부여백제점,126.9084178485178,36.28080441657059,부여군,부여읍,쇼핑,가전,LG,3
Q-cafe,126.89503324083,36.30109145303358,부여군,규암면,생활편의,카페,카페기타,4
SK텔레콤/맥스대리점 부여점,126.912473043951,36.28074888996,부여군,부여읍,쇼핑,정보통신기기,SK텔레콤,3
S무인텔,126.89825179641667,36.31482826142988,부여군,규암면,여행/레저,숙박,모텔/여관,13
VIP모텔,126.91127873618268,36.27716595804321,부여군,부여읍,여행/레저,숙박,모텔/여관,20
가곡교회,126.844811898911,36.3394084955389,부여군,은산면,생활편의,종교,교회시설,6
가롯네소류지,126.742988554507,36.2285316823628,부여군,홍산면,여행/레저,관광명소,호수,4
가림요양원,126.895197908243,36.1495970536294,부여군,임천면,의료편의,기타의료시설,요양원,16
가자한돈마을,126.907973453982,36.2795823310643,부여군,부여읍,생활편의,음식점,한식,3
