is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
0,24시전주명가 콩나물국밥,126.910917657414,36.2771381814153,부여읍,8.0,0,Monday
0,365웰니스의원,127.12647887188,36.7939763798934,충청남도 천안시,1.0,1,Tuesday
0,60계치킨/충남부여점,126.91100070814394,36.279698745121934,부여읍,3.0,1,Tuesday
0,AK&/세종,127.25884617420112,36.50112975739499,세종특별자치시,1.0,0,Friday
0,BBQ/충남부여점,126.92294297599292,36.284563147408605,부여읍,2.0,0,Wednesday
0,BHC/부여규암점,126.882975722621,36.2741939168025,규암면,1.0,1,Thursday
0,CJ제일제당/공주공장,127.14236972079,36.3721577318323,충청남도 공주시,1.0,0,Monday
0,CU/광주서영대점,126.87034545505485,35.175519524902505,광주광역시 북구,1.0,0,Monday
0,CU/군산이편한점,126.73992149331586,35.98027712186703,전라북도 군산시,1.0,0,Wednesday
0,CU/논산리벤하임점,127.10338915672276,36.18185445149236,충청남도 논산시,1.0,0,Monday
0,CU/뉴부여로터리점,126.93236268404728,36.28670741467556,부여읍,3.0,1,Monday
0,CU/백제보점,126.941720129202,36.3174670930817,부여읍,1.0,1,Friday
0,CU/부여구룡점,126.81034745844926,36.24998248331761,구룡면,2.0,0,Thursday
0,CU/부여규암점,126.88910161421737,36.27562197055303,규암면,1.0,1,Thursday
0,CU/부여대박사비점,126.911007611516,36.2782627452196,부여읍,1.0,0,Tuesday
0,CU/부여무지개점,126.866518074498,36.273056635196,규암면,1.0,0,Monday
0,CU/부여반산점,126.878940663001,36.2745469082324,규암면,2.0,1,Monday
0,CU/부여백제점,126.894446691222,36.3016908482367,규암면,5.0,1,Friday
0,CU/부여쌍북점,126.922248416681,36.2834217904242,부여읍,1.0,1,Thursday
0,CU/부여외산점,126.699385743202,36.2950622101676,외산면,1.0,1,Wednesday
0,CU/부여은산점,126.853450274285,36.3092730896185,은산면,8.0,0,Friday
0,CU/부여홍산점,126.759459434374,36.2137279021245,홍산면,2.0,0,Monday
0,CU/서천한산점,126.803370173203,36.0842706270474,충청남도 서천군,2.0,0,Friday
