목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
12월의왈츠,127.246099,36.358756,공주시,반포면,여행/레저,숙박,펜션,0,0.39285714285714285
12월의왈츠,127.246099,36.358756,공주시,반포면,여행/레저,숙박,펜션,1,0.23529411764705882
24시전주명가콩나물국밥/공주점,127.13345324533223,36.46930582803515,공주시,신관동,생활편의,음식점,한식,0,0.10714285714285714
505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,공주시,사곡면,여행/레저,레저/스포츠,캠프장,0,1.1071428571428572
505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,공주시,사곡면,여행/레저,레저/스포츠,캠프장,1,2.0
BBQ/공주신월점,127.147894856217,36.4737560125455,공주시,월송동,생활편의,음식점,치킨,0,0.10714285714285714
CJ제일제당/공주공장,127.14231292851,36.3717120574909,공주시,계룡면,기업/단체,업종별기업,음식료업,0,0.14285714285714285
CU/공주금성점,127.121258412058,36.4655623474279,공주시,웅진동,쇼핑,대형유통점,편의점,0,0.35714285714285715
CU/공주대학로점,127.135673755356,36.4700341435328,공주시,신관동,쇼핑,대형유통점,편의점,1,0.17647058823529413
G7무인텔,127.251136629687,36.36718543044,공주시,반포면,여행/레저,숙박,모텔/여관,0,0.21428571428571427
GS25/공주교대점,127.12036980044,36.4433148796994,공주시,금학동,쇼핑,대형유통점,편의점,1,0.17647058823529413
GS더프레시/공주신관점,127.14461736103752,36.47478365394902,공주시,신관동,쇼핑,슈퍼/마트,대형슈퍼,0,0.21428571428571427
GS더프레시/공주점,127.13417401836,36.455535788487,공주시,옥룡동,쇼핑,슈퍼/마트,대형슈퍼,0,0.10714285714285714
GS더프레시/공주점,127.13417401836,36.455535788487,공주시,옥룡동,쇼핑,슈퍼/마트,대형슈퍼,1,0.35294117647058826
JJ오토캠핑장,126.96521647937055,36.60282441534821,공주시,유구읍,여행/레저,레저/스포츠,캠프장,0,1.3571428571428572
JJ오토캠핑장,126.96521647937055,36.60282441534821,공주시,유구읍,여행/레저,레저/스포츠,캠프장,1,0.9411764705882353
KT/공주지점,127.14986688221416,36.476061316656335,공주시,월송동,기업/단체,주요그룹,KT,0,0.7857142857142857
KT/공주지점,127.14986688221416,36.476061316656335,공주시,월송동,기업/단체,주요그룹,KT,1,0.17647058823529413
OCI스페셜티/공주공장,127.060043107885,36.2983310533736,공주시,탄천면,기업/단체,업종별기업,제조업,0,2.25
OCI스페셜티/공주공장,127.060043107885,36.2983310533736,공주시,탄천면,기업/단체,업종별기업,제조업,1,0.9411764705882353
OK무인텔,127.132201854903,36.4686176182057,공주시,신관동,여행/레저,숙박,모텔/여관,0,0.10714285714285714
PROVIDENCE,127.251858844365,36.360880597064,공주시,반포면,생활편의,카페,카페기타,0,0.8571428571428571
PROVIDENCE,127.251858844365,36.360880597064,공주시,반포면,생활편의,카페,카페기타,1,0.7058823529411765
SK텔레콤/공주종동대리점 신관점,127.14250757647432,36.474176734457046,공주시,신관동,쇼핑,정보통신기기,SK텔레콤,0,0.10714285714285714
SUBWAY/공주신관점,127.14136766354504,36.4733115806733,공주시,신관동,생활편의,음식점,패스트푸드,0,0.10714285714285714
가자펜션,127.25008122601604,36.36071393893157,공주시,반포면,여행/레저,숙박,펜션,0,0.21428571428571427
가족관광농원,127.06148426249086,36.63402685754011,공주시,정안면,건물/시설,농/어업,농장/농원,0,0.10714285714285714
가화,127.252803188447,36.362713727213,공주시,반포면,생활편의,음식점,한식,0,0.10714285714285714
가화,127.252803188447,36.362713727213,공주시,반포면,생활편의,음식점,한식,1,0.7058823529411765
갈릴리수양관,127.09253448205544,36.60561915472721,공주시,정안면,생활편의,종교,교회시설,0,10.535714285714285
갈릴리수양관,127.09253448205544,36.60561915472721,공주시,정안면,생활편의,종교,교회시설,1,17.764705882352942
감나무집/동학사점,127.2518409724039,36.36517013187924,공주시,반포면,생활편의,음식점,전문음식점,0,0.6785714285714286
감나무집/동학사점,127.2518409724039,36.36517013187924,공주시,반포면,생활편의,음식점,전문음식점,1,0.5882352941176471
갑사,127.18764228867,36.3653519343217,공주시,계룡면,생활편의,종교,절,0,19.82142857142857
갑사,127.18764228867,36.3653519343217,공주시,계룡면,생활편의,종교,절,1,42.11764705882353
갑사가는길,127.203001464461,36.4290392119245,공주시,반포면,생활편의,음식점,전문음식점,1,0.17647058823529413
갑사한옥민박,127.17878271094833,36.373371276165216,공주시,계룡면,여행/레저,숙박,펜션,0,0.10714285714285714
강가애,127.093872020644,36.45892405673478,공주시,우성면,생활편의,카페,카페기타,1,0.23529411764705882
강가에서,127.07176302148372,36.44273133146707,공주시,금학동,생활편의,카페,카페기타,1,0.17647058823529413
강백년문화관,127.168301927939,36.58552383064587,공주시,의당면,생활편의,문화생활시설,문화생활시설기타,0,0.10714285714285714
강백년문화관,127.168301927939,36.58552383064587,공주시,의당면,생활편의,문화생활시설,문화생활시설기타,1,0.17647058823529413
강북생활문화센터,127.15489139778732,36.47130835064114,공주시,월송동,생활편의,문화생활시설,문화생활시설기타,0,0.14285714285714285
개성집/공주점,127.12249297193074,36.46349257071954,공주시,웅진동,생활편의,음식점,한식,1,0.7647058823529412
갤러리아울,127.251247557864,36.3864332389814,공주시,반포면,생활편의,카페,카페기타,0,0.25
갤러리아울,127.251247557864,36.3864332389814,공주시,반포면,생활편의,카페,카페기타,1,0.5882352941176471
견동리마을회관,126.999992391382,36.3559352609163,공주시,탄천면,기업/단체,사회시설,회관,1,0.23529411764705882
경기식당,127.23522544296128,36.357058476644696,공주시,반포면,생활편의,음식점,한식,0,0.39285714285714285
계룡산1박2일펜션,127.241554212816,36.359936199658,공주시,반포면,여행/레저,숙박,펜션,0,0.46428571428571425
계룡산1박2일펜션,127.241554212816,36.359936199658,공주시,반포면,여행/레저,숙박,펜션,1,0.35294117647058826
계룡산골프장,127.1908198824633,36.40964140486141,공주시,계룡면,여행/레저,레저/스포츠,골프연습장,0,5.714285714285714
계룡산골프장,127.1908198824633,36.40964140486141,공주시,계룡면,여행/레저,레저/스포츠,골프연습장,1,10.23529411764706
계룡산공영주차장,127.238582266597,36.358603000702,공주시,반포면,교통편의,자동차시설,주차장,1,0.4117647058823529
계룡산국립공원,127.20216889398792,36.35204797861443,공주시,반포면,여행/레저,관광명소,국립공원,1,0.17647058823529413
계룡산국립공원/갑사지구,127.18292046388726,36.36785162208931,공주시,계룡면,여행/레저,관광명소,국립공원,0,0.21428571428571427
계룡산국립공원/갑사지구,127.18292046388726,36.36785162208931,공주시,계룡면,여행/레저,관광명소,국립공원,1,0.29411764705882354
계룡산국립공원/동학사지구,127.2324161632085,36.35688093842831,공주시,반포면,여행/레저,관광명소,국립공원,0,1.75
계룡산국립공원/동학사지구,127.2324161632085,36.35688093842831,공주시,반포면,여행/레저,관광명소,국립공원,1,7.882352941176471
계룡산그린콘도,127.2366211319133,36.35839156414269,공주시,반포면,여행/레저,숙박,콘도/리조트,0,0.5714285714285714
계룡산글램핑/동월숲,127.253414306114,36.355936724677,공주시,반포면,여행/레저,레저/스포츠,캠프장,0,0.14285714285714285
계룡산도예촌,127.216472844121,36.3894326930772,공주시,반포면,여행/레저,관광명소,고택/생가/민속마을,0,0.21428571428571427
계룡산동남가든,127.26835991340675,36.37001497363734,공주시,반포면,생활편의,음식점,전문음식점,1,0.17647058823529413
계룡산동학사스타펜션,127.24325179768738,36.36038457248373,공주시,반포면,여행/레저,숙박,펜션,0,0.2857142857142857
