목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
12월의왈츠,127.246099,36.358756,공주시,반포면,여행/레저,숙박,펜션,18
24시전주명가콩나물국밥/공주점,127.13345324533223,36.46930582803515,공주시,신관동,생활편의,음식점,한식,42
505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,공주시,사곡면,여행/레저,레저/스포츠,캠프장,105
60계치킨/충남공주신관점,127.136590314593,36.472922708262,공주시,신관동,생활편의,음식점,치킨,3
BBQ/공주신월점,127.147894856217,36.4737560125455,공주시,신관동,생활편의,음식점,치킨,6
BBQ/공주신월점,127.147894856217,36.4737560125455,공주시,월송동,생활편의,음식점,치킨,3
BHC/공주대점,127.1371735925166,36.47331155619646,공주시,신관동,생활편의,음식점,치킨,9
BHC/옥룡점,127.1334796434089,36.45467477153064,공주시,옥룡동,생활편의,음식점,치킨,3
CJ제일제당/공주공장,127.14231292851,36.3717120574909,공주시,계룡면,기업/단체,업종별기업,음식료업,4
CU/공주검상공단점,127.07511216362605,36.43035842393694,공주시,금학동,쇼핑,대형유통점,편의점,3
CU/공주금성점,127.121258412058,36.4655623474279,공주시,웅진동,쇼핑,대형유통점,편의점,13
CU/공주대학로점,127.135673755356,36.4700341435328,공주시,신관동,쇼핑,대형유통점,편의점,3
CU/공주미도점,127.13534063694028,36.44928650798882,공주시,옥룡동,쇼핑,대형유통점,편의점,3
CU/공주차령휴게소점,127.123145548372,36.641653360889,공주시,정안면,쇼핑,대형유통점,편의점,3
CU/공주청룡점,127.14020731724588,36.49994692873693,공주시,의당면,쇼핑,대형유통점,편의점,4
CU/공주탄천산업단지점,127.06340224028048,36.30138060259168,공주시,탄천면,쇼핑,대형유통점,편의점,6
G7무인텔,127.251136629687,36.36718543044,공주시,반포면,여행/레저,숙박,모텔/여관,6
GE삼성전기조명,127.132590698502,36.4698119286807,공주시,신관동,쇼핑,전기/가정용품,조명기구,3
GS25/검상공단,127.07509616753656,36.43034387460129,공주시,검상동,쇼핑,대형유통점,편의점,3
GS25/공주교대점,127.12036980044,36.4433148796994,공주시,금학동,쇼핑,대형유통점,편의점,3
GS25/공주금강점,127.1297837641145,36.4734002290203,공주시,신관동,쇼핑,대형유통점,편의점,3
GS25/공주우남점,127.139367790898,36.4789775892989,공주시,월송동,쇼핑,대형유통점,편의점,3
GS25/공주우성점,127.05078639756088,36.470239873074426,공주시,우성면,쇼핑,대형유통점,편의점,12
GS25/공주의당점,127.147033668425,36.490865166754,공주시,의당면,쇼핑,대형유통점,편의점,11
GS25/공주장승마을점,127.021544255583,36.557717915449,공주시,사곡면,쇼핑,대형유통점,편의점,3
