목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
1984그수육집칼국수/계룡엄사점,127.23902727183,36.291388431484,계룡시,엄사면,생활편의,음식점,한식,6
GS25/계룡공단점,127.278357394621,36.2600033422217,계룡시,두마면,쇼핑,대형유통점,편의점,3
GS25/계룡대실와노점,127.25414330909568,36.26281102031678,계룡시,두마면,쇼핑,대형유통점,편의점,3
GYM212,127.237444149204,36.2835004307582,계룡시,엄사면,여행/레저,레저/스포츠,헬스,4
감나무집,127.246193315498,36.289916418566,계룡시,엄사면,생활편의,음식점,전문음식점,25
개나리회관,127.23011131660267,36.30038735556382,계룡시,신도안면,기업/단체,사회시설,회관,1465
경성한우국밥,127.2781082,36.2601144,계룡시,두마면,생활편의,음식점,한식,3
경익버스,127.277774056787,36.2663081774049,계룡시,두마면,기업/단체,업종별기업,운수창고업,15
계룡각/[중식],127.238749546144,36.2883054472831,계룡시,엄사면,생활편의,음식점,중식,6
계룡군문화축제,127.2391683468357,36.31372017125205,계룡시,신도안면,여행/레저,관광명소,축제,1168
계룡군문화축제/1주차장(메인주차장),127.236555138465,36.306053415085,계룡시,신도안면,교통편의,자동차시설,주차장,825
계룡군문화축제/2주차장(메인주차장),127.241110197659,36.316357824607,계룡시,신도안면,교통편의,자동차시설,주차장,188
계룡군문화축제/계룡대쇼핑타운주차장,127.244693398156,36.295582431839,계룡시,신도안면,교통편의,자동차시설,주차장,3
계룡군문화축제/계룡대야구장주차장,127.237249563573,36.301303959585,계룡시,신도안면,교통편의,자동차시설,주차장,12
계룡군문화축제/국방출판지원단주차장,127.23830491574,36.31360812114,계룡시,신도안면,교통편의,자동차시설,주차장,74
계룡군문화축제/장애인주차장,127.233249762756,36.318801944939,계룡시,신도안면,교통편의,자동차시설,주차장,4
계룡대반점/[중식],127.251442955437,36.27802891263,계룡시,금암동,생활편의,음식점,중식,34
계룡대쇼핑타운,127.24467586311664,36.29560508754378,계룡시,신도안면,쇼핑,대형유통점,쇼핑센터,939
계룡대야구장,127.237638404082,36.3028593404262,계룡시,신도안면,여행/레저,레저/스포츠,운동장/체육관,159
계룡대체력단련장,127.24660971701152,36.31549684364986,계룡시,신도안면,여행/레저,레저/스포츠,골프장,916
계룡대홍제사,127.23722504564137,36.29934191261489,계룡시,신도안면,생활편의,종교,절,3
계룡면옥,127.25224845335607,36.2764735386972,계룡시,금암동,생활편의,음식점,한식,12
계룡문화예술의전당,127.234138982021,36.272807183467,계룡시,엄사면,생활편의,문화생활시설,공연장,265
계룡성결교회,127.23744415118,36.2832782338135,계룡시,엄사면,생활편의,종교,교회시설,4
계룡성당,127.237388612902,36.281889502584,계룡시,엄사면,생활편의,종교,성당시설,7
계룡시노인종합복지관,127.259081217198,36.272335160421,계룡시,금암동,기업/단체,사회시설,사회복지시설,3
계룡시민체육관,127.23330574901937,36.26983529443494,계룡시,엄사면,여행/레저,레저/스포츠,운동장/체육관,83
계룡시보건소,127.250026458484,36.27308502226,계룡시,금암동,의료편의,의료시설,보건소/지소,12
계룡시어린이감성체험장,127.214279674844,36.2681409321044,계룡시,엄사면,여행/레저,관광명소,체험학습,3
계룡시종합문화체육공원,127.23263915334246,36.26850210886275,계룡시,엄사면,여행/레저,관광명소,공원,20
계룡시파크골프장,127.2376327,36.3020387,계룡시,신도안면,여행/레저,레저/스포츠,골프장,6
계룡역공영주차장,127.262747556547,36.2725573787947,계룡시,두마면,교통편의,자동차시설,주차장,46
계룡웰빙클럽,127.232305667041,36.2890553243925,계룡시,엄사면,생활편의,생활서비스,찜질방,39
계룡이편한세상경로당,127.265052931798,36.2698354796191,계룡시,두마면,기업/단체,사회시설,사회복지시설,6
계룡장로교회,127.241721535457,36.2848336373712,계룡시,엄사면,생활편의,종교,교회시설,3
계룡장수요양병원,127.217140371796,36.2862222250886,계룡시,엄사면,의료편의,의료시설,요양병원,10
계룡정,127.247582143205,36.2829449975377,계룡시,엄사면,생활편의,음식점,한식,3
계룡종합사회복지관,127.233000189023,36.2733904438237,계룡시,엄사면,기업/단체,사회시설,사회복지시설,9
