목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
1984그수육집칼국수/계룡엄사점,127.23902727183,36.291388431484,계룡시,엄사면,생활편의,음식점,한식,27
1989역전꼬마김밥/계룡점,127.258609118474,36.263169533408,계룡시,두마면,생활편의,음식점,분식,7
24시전주명가콩나물국밥/계룡점,127.24353364330403,36.28904872369465,계룡시,엄사면,생활편의,음식점,한식,17
365배드민턴전용구장,127.246221171183,36.280889667843,계룡시,금암동,여행/레저,레저/스포츠,운동장/체육관,3
60계치킨/충남계룡엄사점,127.23645159646986,36.28787469071905,계룡시,엄사면,생활편의,음식점,치킨,3
BBQ/계룡시청점,127.249359859375,36.272140681337,계룡시,금암동,생활편의,음식점,치킨,6
BBQ/대전계룡점,127.243388023051,36.2883332489658,계룡시,엄사면,생활편의,음식점,치킨,7
BHC/계룡점,127.2529116361336,36.27387866569328,계룡시,금암동,생활편의,음식점,치킨,9
CJ대한통운/계룡영업소,127.242249207303,36.2914717741402,계룡시,엄사면,생활편의,생활서비스,택배,4
GS25/계룡공단점,127.278357394621,36.2600033422217,계룡시,두마면,쇼핑,대형유통점,편의점,11
GS25/계룡대실와노점,127.25414330909568,36.26281102031678,계룡시,두마면,쇼핑,대형유통점,편의점,3
GYM212,127.237444149204,36.2835004307582,계룡시,엄사면,여행/레저,레저/스포츠,헬스,43
가마치통닭/충남계룡점,127.2379820443458,36.2856517847334,계룡시,엄사면,생활편의,음식점,치킨,3
가미정,127.247915446214,36.2830283233381,계룡시,엄사면,생활편의,음식점,한식,5
가장맛있는족발/계룡엄사점,127.23591955234052,36.28759410263321,계룡시,엄사면,생활편의,음식점,전문음식점,5
갈비로,127.23665541922168,36.28583160864181,계룡시,엄사면,생활편의,음식점,한식,3
감나무집,127.246193315498,36.289916418566,계룡시,엄사면,생활편의,음식점,전문음식점,134
강다짐삼각김밥/계룡대점,127.241499297611,36.288805406448,계룡시,엄사면,생활편의,음식점,분식,3
개나리회관,127.23011131660267,36.30038735556382,계룡시,신도안면,기업/단체,사회시설,회관,2538
경동택배/계룡금암396영업소,127.250026523947,36.2657247482823,계룡시,금암동,생활편의,생활서비스,택배,7
경성한우국밥,127.2781082,36.2601144,계룡시,두마면,생활편의,음식점,한식,6
경익버스,127.277774056787,36.2663081774049,계룡시,두마면,기업/단체,업종별기업,운수창고업,15
계룡각/[중식],127.238749546144,36.2883054472831,계룡시,엄사면,생활편의,음식점,중식,46
계룡군문화축제,127.2391683468357,36.31372017125205,계룡시,신도안면,여행/레저,관광명소,축제,1256
계룡군문화축제/1주차장(메인주차장),127.236555138465,36.306053415085,계룡시,신도안면,교통편의,자동차시설,주차장,919
계룡군문화축제/2주차장(메인주차장),127.241110197659,36.316357824607,계룡시,신도안면,교통편의,자동차시설,주차장,263
계룡군문화축제/계룡대쇼핑타운주차장,127.244693398156,36.295582431839,계룡시,신도안면,교통편의,자동차시설,주차장,22
계룡군문화축제/계룡대야구장주차장,127.237249563573,36.301303959585,계룡시,신도안면,교통편의,자동차시설,주차장,15
계룡군문화축제/국방출판지원단주차장,127.23830491574,36.31360812114,계룡시,신도안면,교통편의,자동차시설,주차장,85
계룡군문화축제/장애인주차장,127.233249762756,36.318801944939,계룡시,신도안면,교통편의,자동차시설,주차장,7
계룡대반점/[중식],127.251442955437,36.27802891263,계룡시,금암동,생활편의,음식점,중식,160
계룡대쇼핑타운,127.24467586311664,36.29560508754378,계룡시,신도안면,쇼핑,대형유통점,쇼핑센터,1615
계룡대야구장,127.237638404082,36.3028593404262,계룡시,신도안면,여행/레저,레저/스포츠,운동장/체육관,206
계룡대체력단련장,127.24660971701152,36.31549684364986,계룡시,신도안면,여행/레저,레저/스포츠,골프장,1054
계룡대홍제사,127.23722504564137,36.29934191261489,계룡시,신도안면,생활편의,종교,절,3
계룡도서관,127.2498042216248,36.2769456929437,계룡시,금암동,생활편의,문화생활시설,도서관,103
계룡리더스치과의원,127.240610486382,36.2889442743514,계룡시,엄사면,의료편의,의료시설,의원,3
계룡면옥,127.25224845335607,36.2764735386972,계룡시,금암동,생활편의,음식점,한식,26
계룡명태가,127.245860165007,36.2726961532957,계룡시,금암동,생활편의,음식점,전문음식점,3
계룡문화예술의전당,127.234138982021,36.272807183467,계룡시,엄사면,생활편의,문화생활시설,공연장,579
계룡사계고택,127.271719045132,36.2655582272578,계룡시,두마면,여행/레저,관광명소,고택/생가/민속마을,4
계룡성결교회,127.23744415118,36.2832782338135,계룡시,엄사면,생활편의,종교,교회시설,4
계룡성당,127.237388612902,36.281889502584,계룡시,엄사면,생활편의,종교,성당시설,10
계룡스포츠센터,127.24565194112074,36.29609318903218,계룡시,신도안면,여행/레저,레저/스포츠,종합스포츠센타,4
